Gene,Coefficient_x,Odds Ratio,Coefficient_y,Absolute_Coefficient
COL10A1,0.039896408,1.04070296,0.006566155,0.006566155
ALOX15,0.030007582,1.030462347,0.005581471,0.005581471
COMP,0.029420021,1.029857066,0.004818402,0.004818402
MMP3,0.027224086,1.027598047,0.004858146,0.004858146
COL11A1,0.023462178,1.02373958,0.003699957,0.003699957
MMP11,0.022043568,1.022288322,0.003384559,0.003384559
CORIN,0.022014537,1.022258645,0.0034122,0.0034122
SCGB3A1,0.021995771,1.022239461,0.00418894,0.00418894
INHBA,0.02169721,1.021934306,0.003556874,0.003556874
LRRC15,0.020172016,1.020376846,0.003107637,0.003107637
BPIFB2,0.019788817,1.019985914,0.003499768,0.003499768
HOXC10,0.019180064,1.019365183,0.003197571,0.003197571
TDRD9,0.018901233,1.019080992,0.003714289,0.003714289
GREM1,0.018893287,1.019072895,0.00266371,0.00266371
ASPN,0.018546589,1.018719645,0.002937564,0.002937564
TPSB2,0.017773422,1.017932309,0.003166692,0.003166692
ENHO,0.017058243,1.017204566,0.002805819,0.002805819
KLK14,0.016398255,1.016533445,0.003071042,0.003071042
SIX2,0.016335324,1.016469475,0.002918631,0.002918631
AFP,0.016029394,1.016158554,0.002556907,0.002556907
VSTM2L,0.015991489,1.016120037,0.00278665,0.00278665
LAMP5,0.015989094,1.016117604,0.00279831,0.00279831
WT1,0.015173528,1.015289231,0.002431544,0.002431544
CTHRC1,0.015166662,1.01528226,0.001948076,0.001948076
BGN,0.015146476,1.015261765,0.002212036,0.002212036
SERPINE2,0.015103136,1.015217765,0.002173795,0.002173795
POSTN,0.014897868,1.015009395,0.002504907,0.002504907
NR4A3,0.014614472,1.014721785,0.002866439,0.002866439
TMEM200C,0.014363584,1.014467236,0.002570768,0.002570768
HOXC13,0.014052246,1.014151443,0.002300539,0.002300539
POU3F3,0.013683201,1.013777245,0.002933718,0.002933718
KCNK15,0.013626741,1.013720008,0.002485735,0.002485735
VCAN,0.013606177,1.013699162,0.002140142,0.002140142
CP,0.013384321,1.013474292,0.002095674,0.002095674
PIANP,0.01335772,1.013447333,0.002068631,0.002068631
SYT13,0.01333275,1.013422028,0.002391344,0.002391344
TMEM178A,0.013280504,1.013369081,0.00273174,0.00273174
HOXC11,0.013145574,1.013232357,0.00209081,0.00209081
NKX2-5,0.013139646,1.013226351,0.002245482,0.002245482
NPY1R,0.012943743,1.013027875,0.002340746,0.002340746
RDH10,0.01293074,1.013014704,0.00206339,0.00206339
CYP4X1,0.012866805,1.012949939,0.002547118,0.002547118
FN1,0.01277163,1.012853536,0.001896353,0.001896353
UNC5A,0.012594332,1.012673975,0.001814497,0.001814497
CREB3L1,0.012564934,1.012644205,0.002194936,0.002194936
GZMA,0.012511077,1.012589668,0.001798323,0.001798323
IL17RB,0.012331135,1.012407477,0.001776617,0.001776617
SULF1,0.012328473,1.012404782,0.001926047,0.001926047
CYP26B1,0.01229397,1.012369851,0.002303895,0.002303895
CCNO,0.01225852,1.012333963,0.002145681,0.002145681
CPA3,0.012176658,1.012251096,0.00193774,0.00193774
CTSW,0.012171103,1.012245473,0.001784123,0.001784123
CDH11,0.012164144,1.012238428,0.001853809,0.001853809
HSD17B6,0.012123994,1.012197788,0.002038402,0.002038402
SLITRK4,0.012095093,1.012168535,0.002135831,0.002135831
TNNT1,0.011991719,1.012063907,0.001720804,0.001720804
F2RL2,0.011927898,1.011999319,0.001978014,0.001978014
STC1,0.011916911,1.011988201,0.001382864,0.001382864
PRSS21,0.011851247,1.011921752,0.001852336,0.001852336
SFRP2,0.011789588,1.011859359,0.001865898,0.001865898
PLAUR,0.011755786,1.011825157,0.001599409,0.001599409
KRT81,0.011654051,1.011722224,0.001551175,0.001551175
HOXB2,0.011547864,1.011614798,0.002200196,0.002200196
FOXC2,0.011527618,1.011594317,0.002184606,0.002184606
PAX9,0.011473057,1.011539125,0.001934576,0.001934576
PITX1,0.011284005,1.01134791,0.002050392,0.002050392
ADAMTS4,0.011133316,1.011195522,0.00147091,0.00147091
CST7,0.011113655,1.011175641,0.001750735,0.001750735
ACTA1,0.011089175,1.011150888,0.002309297,0.002309297
PDZK1,0.011045329,1.011106554,0.001994938,0.001994938
PCSK1N,0.01103566,1.011096777,0.001749394,0.001749394
MMP7,0.011010904,1.011071747,0.001877482,0.001877482
CHAD,0.010916808,1.010976614,0.001904406,0.001904406
LYZ,0.01083945,1.01089841,0.001068767,0.001068767
SLC4A4,0.010791893,1.010850335,0.00210888,0.00210888
MKX,0.0107488,1.010806776,0.002069785,0.002069785
PARD6B,0.010736035,1.010793873,0.001511771,0.001511771
PPP4R4,0.010734988,1.010792815,0.001255643,0.001255643
HLA-DQB1,0.010663239,1.010720294,0.001483902,0.001483902
COL1A1,0.010532435,1.010588096,0.001606911,0.001606911
HPN,0.010510983,1.010566418,0.001940774,0.001940774
MATN3,0.010438453,1.010493124,0.001432581,0.001432581
SPTSSB,0.010430144,1.010484728,0.001767752,0.001767752
DKK1,0.010428291,1.010482855,0.001209522,0.001209522
MMP13,0.010420396,1.010474877,0.001403015,0.001403015
MMP9,0.010406102,1.010460434,0.001573122,0.001573122
TFPI2,0.010397856,1.010452102,0.001870883,0.001870883
CEMIP,0.010366832,1.010420753,0.001650026,0.001650026
ADAM12,0.010360649,1.010414506,0.001736994,0.001736994
TGM2,0.010265602,1.010318474,0.001399331,0.001399331
SELE,0.010170646,1.010222543,0.001427428,0.001427428
C1QL4,0.010161583,1.010213388,0.001697447,0.001697447
ADCY1,0.010152584,1.010204297,0.001780599,0.001780599
COL12A1,0.010145322,1.010196961,0.001663666,0.001663666
HES1,0.010123572,1.010174988,0.001565915,0.001565915
PAQR5,0.010115727,1.010167064,0.001496375,0.001496375
SIX1,0.010035492,1.010086016,0.001543257,0.001543257
F2R,0.009909866,1.009959132,0.001735039,0.001735039
HSPB1,0.009882366,1.009931358,0.001765608,0.001765608
HEYL,0.009882303,1.009931294,0.00180544,0.00180544
SFRP4,0.009871066,1.009919946,0.001502277,0.001502277
CDKN2A,0.009849471,1.009898137,0.001389014,0.001389014
